0	(1,3,1),(0,5,2)
1	(1,3,1),(0,5,2)
2	(1,3,1),(0,5,2)
3	(1,3,1),(0,5,2)
4	(1,3,1),(0,5,2)
5	(1,3,1),(0,5,2)
6	(1,3,1),(0,5,2)
7	(1,3,1),(0,5,2)
8	(1,3,1),(0,5,2)
9	(1,3,1),(0,5,2)
10	(1,3,1),(0,5,2)
11	(1,3,1),(0,5,2)
12	(1,3,1),(0,5,2)
13	(1,3,1),(0,5,2)
14	(1,4,1),(1,4,1)
15	(1,4,1),(1,4,1)
16	(1,4,1),(1,4,1)
17	(1,4,1),(1,4,1)
18	(1,4,1),(1,4,1)
19	(1,4,1),(1,4,1)
20	(1,4,1),(1,4,1)
21	(1,4,1),(1,4,1)
22	(1,4,1),(1,4,1)
23	(1,4,1),(1,4,1)
24	(1,4,1),(1,4,1)
25	(1,4,1),(1,4,1)
26	(1,4,1),(1,4,1)
27	(1,4,1),(1,4,1)
28	(1,4,1),(1,4,1)
29	(1,4,1),(1,4,1)
30	(1,4,1),(1,4,1)
31	(1,4,1),(1,4,1)
32	(1,4,1),(1,4,1)
33	(1,4,1),(1,4,1)
34	(1,3,1),(0,5,2)
35	(1,3,1),(0,5,2)
